Date,Offline_Spend,Online_Spend
2019-01-01 00:00:00,4500,2424.5
2019-01-02 00:00:00,4500,3480.36
2019-01-03 00:00:00,4500,1576.38
2019-01-04 00:00:00,4500,2928.55
2019-01-05 00:00:00,4500,4055.3
2019-01-06 00:00:00,4500,3796.85
2019-01-07 00:00:00,4500,2579.52
2019-01-08 00:00:00,5000,2551.38
2019-01-09 00:00:00,5000,3287.83
2019-01-10 00:00:00,5000,515.44
2019-01-11 00:00:00,5000,1757.58
2019-01-12 00:00:00,5000,2435.97
2019-01-13 00:00:00,5000,2449.65
2019-01-14 00:00:00,5000,1920.57
2019-01-15 00:00:00,3000,1734.68
2019-01-16 00:00:00,3000,3727.61
2019-01-17 00:00:00,3000,417.73
2019-01-18 00:00:00,3000,1312.5
2019-01-19 00:00:00,3000,2753.56
2019-01-20 00:00:00,3000,2073.51
2019-01-21 00:00:00,3000,640.93
2019-01-22 00:00:00,1000,1049.73
2019-01-23 00:00:00,1000,1356.59
2019-01-24 00:00:00,1000,560.02
2019-01-25 00:00:00,1000,1124.95
2019-01-26 00:00:00,1000,937.58
2019-01-27 00:00:00,1000,687.86
2019-01-28 00:00:00,1000,993.69
2019-01-29 00:00:00,700,836.13
2019-01-30 00:00:00,700,981.86
2019-01-31 00:00:00,700,1380.14
2019-02-01 00:00:00,700,692.67
2019-02-02 00:00:00,700,770.87
2019-02-03 00:00:00,700,2091.61
2019-02-04 00:00:00,700,2216.98
2019-02-05 00:00:00,3000,2486.46
2019-02-06 00:00:00,3000,1665.47
2019-02-07 00:00:00,3000,877.2
2019-02-08 00:00:00,3000,1973.27
2019-02-09 00:00:00,3000,2659.34
2019-02-10 00:00:00,3000,2037.41
2019-02-11 00:00:00,3000,2864.69
2019-02-12 00:00:00,3000,2844.64
2019-02-13 00:00:00,3000,2007.32
2019-02-14 00:00:00,3000,830.68
2019-02-15 00:00:00,3000,1738.89
2019-02-16 00:00:00,3000,3784.07
2019-02-17 00:00:00,3000,2107.67
2019-02-18 00:00:00,3000,1586.43
2019-02-19 00:00:00,3500,1720.16
2019-02-20 00:00:00,3500,2768.28
2019-02-21 00:00:00,3500,727.39
2019-02-22 00:00:00,3500,939.9
2019-02-23 00:00:00,3500,2548.51
2019-02-24 00:00:00,3500,2280.26
2019-02-25 00:00:00,3500,1469.84
2019-02-26 00:00:00,4000,1951.71
2019-02-27 00:00:00,4000,4349.02
2019-02-28 00:00:00,4000,1817.18
2019-03-01 00:00:00,4000,1880.22
2019-03-02 00:00:00,4000,1258.6
2019-03-03 00:00:00,4000,2066.29
2019-03-04 00:00:00,4000,642.34
2019-03-05 00:00:00,2500,1153.36
2019-03-06 00:00:00,2500,1827.02
2019-03-07 00:00:00,2500,2335.35
2019-03-08 00:00:00,2500,1918.53
2019-03-09 00:00:00,2500,1768.28
2019-03-10 00:00:00,2500,1294.22
2019-03-11 00:00:00,2500,973.15
2019-03-12 00:00:00,2000,731.1
2019-03-13 00:00:00,2000,1498.01
2019-03-14 00:00:00,2000,1141.27
2019-03-15 00:00:00,2000,1684.18
2019-03-16 00:00:00,2000,2435.12
2019-03-17 00:00:00,2000,1837.87
2019-03-18 00:00:00,2000,659.57
2019-03-19 00:00:00,2000,982.2
2019-03-20 00:00:00,2000,1542.81
2019-03-21 00:00:00,2000,2365.81
2019-03-22 00:00:00,2000,2523.41
2019-03-23 00:00:00,2000,1736.63
2019-03-24 00:00:00,2000,1984
2019-03-25 00:00:00,2000,931.54
2019-03-26 00:00:00,2000,1672.79
2019-03-27 00:00:00,2000,2639.99
2019-03-28 00:00:00,2000,1066.12
2019-03-29 00:00:00,2000,1330.54
2019-03-30 00:00:00,2000,692.02
2019-03-31 00:00:00,2000,2177.75
2019-04-01 00:00:00,2000,4019.93
2019-04-02 00:00:00,2500,1909.27
2019-04-03 00:00:00,2500,1748.14
2019-04-04 00:00:00,2500,1136.06
2019-04-05 00:00:00,2500,2342.68
2019-04-06 00:00:00,2500,2307.25
2019-04-07 00:00:00,2500,2719.46
2019-04-08 00:00:00,2500,2200.69
2019-04-09 00:00:00,3000,1740.91
2019-04-10 00:00:00,3000,2143.39
2019-04-11 00:00:00,3000,804.85
2019-04-12 00:00:00,3000,1631.25
2019-04-13 00:00:00,3000,2872.23
2019-04-14 00:00:00,3000,1747
2019-04-15 00:00:00,3000,1593.58
2019-04-16 00:00:00,4000,2168.04
2019-04-17 00:00:00,4000,2526.49
2019-04-18 00:00:00,4000,1476.58
2019-04-19 00:00:00,4000,1754.92
2019-04-20 00:00:00,4000,1330.34
2019-04-21 00:00:00,4000,3078.84
2019-04-22 00:00:00,4000,1608.26
2019-04-23 00:00:00,3500,3107.11
2019-04-24 00:00:00,3500,1650.62
2019-04-25 00:00:00,3500,620.94
2019-04-26 00:00:00,3500,1363.31
2019-04-27 00:00:00,3500,2056.17
2019-04-28 00:00:00,3500,2019.73
2019-04-29 00:00:00,3500,3549.13
2019-04-30 00:00:00,3000,1799.66
2019-05-01 00:00:00,3000,1108.88
2019-05-02 00:00:00,3000,732.47
2019-05-03 00:00:00,3000,2406.31
2019-05-04 00:00:00,3000,2407.55
2019-05-05 00:00:00,3000,1177.76
2019-05-06 00:00:00,3000,2100.89
2019-05-07 00:00:00,3000,2271
2019-05-08 00:00:00,3000,869.25
2019-05-09 00:00:00,3000,1771.32
2019-05-10 00:00:00,3000,1942.13
2019-05-11 00:00:00,3000,1801.66
2019-05-12 00:00:00,3000,2113.63
2019-05-13 00:00:00,3000,2697.6
2019-05-14 00:00:00,2500,2151.7
2019-05-15 00:00:00,2500,682.42
2019-05-16 00:00:00,2500,1605.63
2019-05-17 00:00:00,2500,3052.49
2019-05-18 00:00:00,2500,2805.79
2019-05-19 00:00:00,2500,2331.31
2019-05-20 00:00:00,2500,2298.34
2019-05-21 00:00:00,1000,882.98
2019-05-22 00:00:00,1000,979.08
2019-05-23 00:00:00,1000,1196.03
2019-05-24 00:00:00,1000,670.51
2019-05-25 00:00:00,1000,2565.75
2019-05-26 00:00:00,1000,2752.13
2019-05-27 00:00:00,1000,1976.31
2019-05-28 00:00:00,500,465.4
2019-05-29 00:00:00,500,670.64
2019-05-30 00:00:00,500,1262.38
2019-05-31 00:00:00,500,1010.3
2019-06-01 00:00:00,500,320.25
2019-06-02 00:00:00,500,1622.46
2019-06-03 00:00:00,500,1230.43
2019-06-04 00:00:00,3500,2553.18
2019-06-05 00:00:00,3500,3202.1
2019-06-06 00:00:00,3500,1126.87
2019-06-07 00:00:00,3500,1694.16
2019-06-08 00:00:00,3500,1598.46
2019-06-09 00:00:00,3500,2940.1
2019-06-10 00:00:00,3500,1881.94
2019-06-11 00:00:00,3000,1428.32
2019-06-12 00:00:00,3000,2321.52
2019-06-13 00:00:00,3000,1084.43
2019-06-14 00:00:00,3000,1749.49
2019-06-15 00:00:00,3000,1919.84
2019-06-16 00:00:00,3000,2009.36
2019-06-17 00:00:00,3000,2743.71
2019-06-18 00:00:00,3500,2289.42
2019-06-19 00:00:00,3500,2617.14
2019-06-20 00:00:00,3500,1019.59
2019-06-21 00:00:00,3500,1473.98
2019-06-22 00:00:00,3500,2217.07
2019-06-23 00:00:00,3500,2283.08
2019-06-24 00:00:00,3500,1975.15
2019-06-25 00:00:00,1500,956.13
